epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.6842,1.75228,3.38187,1.98935,0.65581,0.1047,0.05496,0.0204,2.21696,7.54815,2.62572,0.000275791,0.000275791,0.000275791
2,157.549,1.83117,2.97174,2.0818,0.70042,0.06737,0.04783,0.02215,1.96969,4.99022,2.42464,0.000547978,0.000547978,0.000547978
3,236.542,1.82995,2.90744,2.04033,0.31518,0.14762,0.03719,0.01375,2.16827,5.80511,2.63731,0.000814668,0.000814668,0.000814668
4,314.518,1.80551,2.7916,2.03884,0.31722,0.28289,0.04771,0.01964,1.87295,6.9059,2.20628,0.00080826,0.00080826,0.00080826
5,392.925,1.74396,2.67881,1.97974,0.39036,0.25866,0.15087,0.07567,1.79788,2.88307,2.15206,0.000800013,0.000800013,0.000800013
6,471.627,1.73802,2.55843,1.97265,0.40806,0.2389,0.1504,0.07323,1.83802,2.65407,2.13506,0.000791767,0.000791767,0.000791767
7,549.664,1.70066,2.51142,1.95297,0.30502,0.30386,0.17474,0.08299,1.78476,2.60771,2.17157,0.00078352,0.00078352,0.00078352
8,628.1,1.66446,2.42191,1.9063,0.42065,0.28805,0.16521,0.08027,1.76332,2.51092,2.09402,0.000775273,0.000775273,0.000775273
9,705.899,1.63303,2.37402,1.88263,0.49243,0.30472,0.26068,0.12767,1.70642,2.29026,2.05137,0.000767026,0.000767026,0.000767026
10,784.53,1.63835,2.28701,1.88801,0.43317,0.33839,0.27767,0.14459,1.68701,2.23679,1.9998,0.00075878,0.00075878,0.00075878
11,862.947,1.59288,2.24674,1.85482,0.36624,0.36114,0.26018,0.12801,1.70272,2.22026,2.07946,0.000750533,0.000750533,0.000750533
12,940.834,1.58705,2.18733,1.84342,0.39949,0.42751,0.35908,0.18757,1.67429,1.9962,2.03079,0.000742286,0.000742286,0.000742286
13,1019.03,1.56841,2.1174,1.82763,0.42016,0.43188,0.38472,0.19676,1.69027,2.02028,2.01388,0.00073404,0.00073404,0.00073404
14,1097.62,1.57016,2.04089,1.80674,0.4868,0.41323,0.38012,0.1905,1.68318,1.95082,2.0178,0.000725793,0.000725793,0.000725793
15,1175.6,1.54,1.98878,1.80528,0.4955,0.47309,0.44292,0.22886,1.66334,1.93055,1.98891,0.000717546,0.000717546,0.000717546
16,1254.2,1.50295,1.93288,1.77451,0.49678,0.43361,0.45681,0.24636,1.60571,1.78921,1.96502,0.000709299,0.000709299,0.000709299
17,1332.62,1.5038,1.86413,1.75199,0.46824,0.44138,0.45381,0.23088,1.67762,1.85467,2.01887,0.000701053,0.000701053,0.000701053
18,1410.88,1.51988,1.88883,1.77672,0.49344,0.45111,0.46819,0.24596,1.66763,1.89949,2.00351,0.000692806,0.000692806,0.000692806
19,1489.36,1.46996,1.78894,1.74505,0.40678,0.43923,0.41961,0.227,1.65919,2.0128,1.983,0.000684559,0.000684559,0.000684559
20,1567.38,1.47786,1.7859,1.7423,0.45844,0.46934,0.47436,0.25344,1.61275,1.78332,1.99607,0.000676313,0.000676313,0.000676313
21,1645.77,1.44533,1.74504,1.72597,0.54788,0.47915,0.52225,0.27971,1.60185,1.71897,1.96461,0.000668066,0.000668066,0.000668066
22,1724.14,1.46255,1.73012,1.73858,0.50996,0.51782,0.53856,0.28427,1.59722,1.68978,1.96313,0.000659819,0.000659819,0.000659819
23,1802.62,1.45179,1.71657,1.73198,0.61909,0.48956,0.56062,0.29122,1.62435,1.60118,1.98844,0.000651573,0.000651573,0.000651573
24,1880.98,1.44618,1.62404,1.71625,0.56306,0.53304,0.57762,0.31735,1.59379,1.59639,1.9492,0.000643326,0.000643326,0.000643326
25,1959.31,1.42179,1.59968,1.69417,0.5867,0.5224,0.56887,0.30097,1.60492,1.59549,1.96321,0.000635079,0.000635079,0.000635079
26,2037.5,1.43341,1.57484,1.71014,0.60959,0.54523,0.60121,0.31913,1.59648,1.5798,1.96827,0.000626832,0.000626832,0.000626832
27,2115.86,1.39236,1.50099,1.67569,0.59302,0.54412,0.60705,0.33384,1.58132,1.5009,1.94943,0.000618586,0.000618586,0.000618586
28,2194.32,1.38809,1.49072,1.67522,0.58807,0.60126,0.62678,0.33787,1.57343,1.46666,1.97568,0.000610339,0.000610339,0.000610339
29,2272.8,1.35962,1.47423,1.65396,0.62637,0.57671,0.64454,0.33427,1.5962,1.45391,1.95589,0.000602092,0.000602092,0.000602092
30,2350.67,1.35447,1.42533,1.6474,0.67044,0.57255,0.65102,0.34337,1.58073,1.45027,1.92924,0.000593846,0.000593846,0.000593846
31,2429.12,1.37689,1.45888,1.6691,0.60688,0.5907,0.6547,0.35623,1.55066,1.42057,1.92781,0.000585599,0.000585599,0.000585599
32,2507.68,1.37091,1.40305,1.64259,0.6744,0.53154,0.62714,0.33714,1.61768,1.46309,1.95309,0.000577352,0.000577352,0.000577352
33,2585.51,1.35929,1.34673,1.63531,0.64919,0.56025,0.63803,0.33628,1.58653,1.49073,1.9595,0.000569106,0.000569106,0.000569106
34,2664,1.3433,1.37201,1.62904,0.59505,0.60715,0.63635,0.35339,1.53546,1.42592,1.91956,0.000560859,0.000560859,0.000560859
35,2742.02,1.30702,1.29224,1.60711,0.59066,0.6081,0.65267,0.3525,1.57263,1.41738,1.97661,0.000552612,0.000552612,0.000552612
36,2820.15,1.29973,1.24466,1.59035,0.62614,0.60983,0.65066,0.35563,1.6133,1.44232,1.9816,0.000544365,0.000544365,0.000544365
37,2898.19,1.30516,1.23761,1.60112,0.75114,0.52688,0.64972,0.35408,1.60107,1.52808,1.95618,0.000536119,0.000536119,0.000536119
38,2976.46,1.29433,1.25594,1.59346,0.75998,0.58778,0.68929,0.36711,1.57141,1.32947,1.92542,0.000527872,0.000527872,0.000527872
39,3055.04,1.27945,1.21047,1.5811,0.66573,0.62835,0.69135,0.36882,1.56533,1.33312,1.93887,0.000519625,0.000519625,0.000519625
40,3133.78,1.25521,1.1863,1.56849,0.71455,0.64167,0.71005,0.36982,1.58258,1.27942,1.9597,0.000511379,0.000511379,0.000511379
41,3212.21,1.25666,1.20402,1.56903,0.7158,0.65681,0.72264,0.4,1.58159,1.24439,1.97526,0.000503132,0.000503132,0.000503132
42,3290.51,1.26236,1.20406,1.56561,0.65277,0.64518,0.68726,0.37688,1.55423,1.30953,1.94615,0.000494885,0.000494885,0.000494885
43,3368.52,1.25108,1.14797,1.54404,0.58044,0.55715,0.56389,0.29209,1.6924,1.80302,2.08094,0.000486639,0.000486639,0.000486639
44,3446.54,1.22369,1.11665,1.53934,0.73766,0.65535,0.72447,0.39668,1.58238,1.20448,1.98187,0.000478392,0.000478392,0.000478392
45,3524.36,1.21,1.08527,1.51867,0.75649,0.62487,0.72382,0.39447,1.55806,1.21314,1.95001,0.000470145,0.000470145,0.000470145
46,3602.42,1.23972,1.11074,1.54072,0.71862,0.68083,0.73547,0.40059,1.54598,1.16647,1.94189,0.000461898,0.000461898,0.000461898
47,3680.83,1.22961,1.11971,1.55142,0.74294,0.65019,0.73623,0.38716,1.57121,1.20466,1.97163,0.000453652,0.000453652,0.000453652
48,3759.05,1.18238,1.05403,1.50374,0.70647,0.68201,0.74452,0.41375,1.54409,1.16991,1.93207,0.000445405,0.000445405,0.000445405
49,3837.43,1.16979,1.05688,1.49501,0.70988,0.6496,0.73213,0.3995,1.57273,1.20081,1.9667,0.000437158,0.000437158,0.000437158
50,3915.32,1.17739,1.00564,1.49476,0.7895,0.64561,0.74126,0.40379,1.54984,1.17027,1.97448,0.000428912,0.000428912,0.000428912
51,3993.34,1.18469,1.02076,1.48745,0.69639,0.66808,0.71905,0.38985,1.54433,1.19723,1.95114,0.000420665,0.000420665,0.000420665
52,4071.31,1.14281,0.96002,1.46238,0.73274,0.68232,0.74637,0.40605,1.58096,1.13668,1.9755,0.000412418,0.000412418,0.000412418
53,4149.47,1.13893,0.98806,1.46076,0.72646,0.70591,0.7585,0.41752,1.54994,1.12537,1.97008,0.000404172,0.000404172,0.000404172
54,4227.71,1.14159,0.98028,1.46273,0.73636,0.71147,0.77243,0.42224,1.56547,1.12489,2.00225,0.000395925,0.000395925,0.000395925
55,4306.42,1.14411,0.98247,1.46892,0.71116,0.71533,0.75786,0.41338,1.53433,1.1268,1.95639,0.000387678,0.000387678,0.000387678
56,4384.52,1.13159,0.93904,1.46097,0.7638,0.68557,0.76209,0.40576,1.55999,1.14422,1.97766,0.000379431,0.000379431,0.000379431
57,4462.47,1.10447,0.92461,1.43999,0.78563,0.71244,0.78033,0.42028,1.55063,1.08959,1.96602,0.000371185,0.000371185,0.000371185
58,4540.48,1.08816,0.90253,1.43331,0.76458,0.68495,0.77467,0.42266,1.5464,1.09318,1.98097,0.000362938,0.000362938,0.000362938
59,4618.85,1.08354,0.87053,1.41256,0.75637,0.71133,0.76279,0.42243,1.54033,1.07754,1.97895,0.000354691,0.000354691,0.000354691
60,4696.85,1.06232,0.86002,1.39239,0.74642,0.68261,0.74906,0.41366,1.5687,1.13301,2.00489,0.000346445,0.000346445,0.000346445
61,4774.65,1.0531,0.84389,1.40348,0.75169,0.71061,0.76703,0.42821,1.545,1.09677,1.98191,0.000338198,0.000338198,0.000338198
62,4852.83,1.06684,0.8537,1.4082,0.80896,0.66943,0.77668,0.43311,1.5569,1.08344,1.99882,0.000329951,0.000329951,0.000329951
63,4931.44,1.01724,0.82312,1.36729,0.77548,0.69274,0.78172,0.43211,1.56938,1.07903,2.01023,0.000321705,0.000321705,0.000321705
64,5009.59,1.03988,0.83439,1.38315,0.76411,0.71635,0.77409,0.42696,1.56377,1.10789,2.00888,0.000313458,0.000313458,0.000313458
