epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3142.99,1.22347,1.21475,1.82821,0.76883,0.64614,0.71637,0.38104,1.58982,1.27369,2.34307,0.000494885,0.000494885,0.000494885
43,3217.73,1.21802,1.16332,1.79799,0.69328,0.63389,0.69682,0.37192,1.58526,1.28603,2.32862,0.000486639,0.000486639,0.000486639
44,3291.62,1.20818,1.16223,1.80449,0.70333,0.65147,0.69843,0.36953,1.58314,1.30299,2.34,0.000478392,0.000478392,0.000478392
45,3366.13,1.19031,1.1163,1.78162,0.71186,0.64688,0.70914,0.37533,1.59332,1.2683,2.36456,0.000470145,0.000470145,0.000470145
46,3440.28,1.18344,1.10921,1.77991,0.72961,0.6362,0.72028,0.38483,1.60078,1.29179,2.35781,0.000461898,0.000461898,0.000461898
47,3514.56,1.2012,1.1229,1.79058,0.72293,0.66376,0.72697,0.38838,1.59114,1.24632,2.32855,0.000453652,0.000453652,0.000453652
48,3588.61,1.14937,1.0713,1.73935,0.733,0.67352,0.73634,0.38486,1.59506,1.2226,2.35833,0.000445405,0.000445405,0.000445405
49,3662.37,1.1294,1.05826,1.71715,0.70264,0.65471,0.72826,0.39082,1.59562,1.23168,2.37012,0.000437158,0.000437158,0.000437158
50,3736.56,1.123,1.01235,1.71853,0.76683,0.61429,0.71812,0.37935,1.6325,1.24978,2.43769,0.000428912,0.000428912,0.000428912
51,3810.32,1.12353,1.01087,1.71068,0.70581,0.67541,0.7164,0.38243,1.62569,1.28728,2.40733,0.000420665,0.000420665,0.000420665
52,3884.37,1.07324,0.93496,1.66457,0.73853,0.69397,0.74418,0.39257,1.60676,1.1761,2.41438,0.000412418,0.000412418,0.000412418
53,3958.85,1.09719,0.98667,1.68878,0.70727,0.7137,0.74685,0.40717,1.579,1.14281,2.3764,0.000404172,0.000404172,0.000404172
54,4033.18,1.08955,0.97678,1.68024,0.68466,0.71068,0.73667,0.39296,1.63281,1.15917,2.47093,0.000395925,0.000395925,0.000395925
55,4107.45,1.08409,0.9682,1.66648,0.73743,0.67607,0.73569,0.39069,1.59051,1.20478,2.40193,0.000387678,0.000387678,0.000387678
56,4181.73,1.07611,0.94742,1.66994,0.7562,0.64893,0.72605,0.37162,1.63963,1.21096,2.45614,0.000379431,0.000379431,0.000379431
57,4256.15,1.05557,0.92667,1.65187,0.75071,0.65179,0.73171,0.389,1.63932,1.20121,2.45644,0.000371185,0.000371185,0.000371185
58,4330.73,1.02932,0.90335,1.61621,0.75584,0.70051,0.76851,0.41483,1.60006,1.10447,2.40649,0.000362938,0.000362938,0.000362938
59,4405.05,1.02171,0.87573,1.60286,0.75317,0.6852,0.73494,0.40594,1.59614,1.15053,2.43674,0.000354691,0.000354691,0.000354691
60,4478.82,1.00034,0.86453,1.59467,0.7866,0.6543,0.755,0.40513,1.60602,1.16533,2.4548,0.000346445,0.000346445,0.000346445
61,4552.5,1.00182,0.84437,1.58927,0.7379,0.70265,0.74731,0.393,1.61942,1.16477,2.48479,0.000338198,0.000338198,0.000338198
62,4626.37,0.98022,0.85068,1.58148,0.75248,0.70949,0.75491,0.40837,1.60408,1.12668,2.4805,0.000329951,0.000329951,0.000329951
63,4700.82,0.95738,0.82737,1.5561,0.72102,0.7059,0.74615,0.40608,1.60627,1.13656,2.45918,0.000321705,0.000321705,0.000321705
